gene,rho_purity,p_purity,rho_prolif,p_prolif,rho_cd8,p_cd8,rho_immune,p_immune,p_purity_bh,p_prolif_bh,p_cd8_bh,p_immune_bh
CRY2,-0.011304560482897975,0.7268900773241372,-0.6803226495346765,5.052502667899587e-131,-0.1753224768868985,4.790381365897943e-08,-0.16091297295120002,5.613896337028831e-07,0.7540353499213042,1.9736338546482762e-130,8.230895817694061e-08,9.515078537337002e-07
RNF141,0.18155132912967498,1.5485721581673987e-08,-0.32801395169295994,1.932094350026435e-25,-0.314831643498138,1.8340877407613495e-23,-0.3172082134120406,8.206584015836683e-24,6.732922426814776e-08,2.0210191945883212e-25,1.1909660654294478e-22,7.074641392962658e-23
CCNDBP1,0.04938476356481896,0.12684231129399695,-0.5665169445784749,2.473749342588849e-82,-0.1439990904570029,7.742725592354981e-06,-0.13911756694838603,1.5669967698850693e-05,0.1655904847180117,6.3429470322791e-82,1.0577493978627025e-05,2.3528480028304343e-05
KLHDC1,0.10635113446379771,0.0009839864921181328,-0.6654372894391942,2.022677626142158e-123,-0.24099053109769836,4.123166514890639e-14,-0.21726292126228988,1.0933534635986137e-11,0.00202466356402908,7.604051226098338e-123,1.1204256833941953e-13,2.760993594945994e-11
JMJD6,-0.046828846178229716,0.14773714711607613,0.4694617296831968,1.2851234486926441e-53,0.13184627507558372,4.290332709529724e-05,0.11623171429331103,0.00031432817290006775,0.1898935052905863,1.935426880561211e-53,5.5088509336645124e-05,0.0004103500951698012
CIRBP,0.14546662280085967,6.235500672644813e-06,-0.595015123315558,1.0202270082128902e-92,-0.2070346562552617,1.0028571156003296e-10,-0.1986059533937528,5.726928196802475e-10,1.9732597065331685e-05,2.898372182422984e-92,2.1246972788142577e-10,1.2559053063163321e-09
ENTPD5,0.1288380149498285,6.411824434130691e-05,-0.4146421854946895,4.671694097120875e-41,-0.2854291518552626,2.1304412351716252e-19,-0.2655097330492946,6.638369080450967e-17,0.00016873222195080766,5.810564797414024e-41,9.182936358498384e-19,2.6342734446234e-16
IL6ST,0.16754191560675824,1.857150668760785e-07,-0.5282073473253518,7.09709864582542e-70,-0.27817864343425425,1.8193327821615477e-18,-0.2666304786335847,4.8661166190851294e-17,7.488510761132197e-07,1.442499724761264e-69,7.051677450238557e-18,1.9464466476340517e-16
CKAP2L,0.09780309885360519,0.0024545449217993134,0.9100222213161596,0.0,0.12470069707259192,0.00010985212538493883,0.11405491469899084,0.0004073632810177764,0.004648759321589609,0.0,0.00013629295953466355,0.0005236031889688642
NARF,-0.015242923622359305,0.6376712526477588,0.47423787095962766,7.983268122801492e-55,0.15529782645346768,1.3843879755656964e-06,0.13796255194391124,1.845172980701075e-05,0.6871457463876711,1.2473856441877331e-54,2.0418701704508793e-06,2.745793126043266e-05
KIF4A,0.10337682380522639,0.0013628339984392262,0.9339284620445564,0.0,0.10274632093882931,0.0014587201620073012,0.09161535860394787,0.004562210302492981,0.0027256679968784524,0.0,0.0016805531820360613,0.005367306238227037
KIF20A,0.07208920389654357,0.025741007919763182,0.9051342081131091,0.0,0.13292686396414796,3.70586465812516e-05,0.11662646296401209,0.0002997483166187894,0.03984676148570152,0.0,4.81281124431839e-05,0.00039440567976156503
DLGAP5,0.05377980656542147,0.09636654800114047,0.9177018984327769,0.0,0.15096822818116126,2.7177665143912207e-06,0.1365521934770137,2.2487061021715167e-05,0.12917767828571108,0.0,3.927408257790782e-06,3.306920738487524e-05
NAT1,0.0912563317409141,0.004724227827174847,-0.49383118946597176,5.583054176835661e-60,-0.21724938052854534,1.0966476828049107e-11,-0.20698325897065392,1.0138006186522271e-10,0.008527487052662179,9.527396206204201e-60,2.4699272135245735e-11,2.3363175473840306e-10
TROAP,0.10716172564114478,0.0008991262142119127,0.8787745616793292,4.56027338401214e-309,0.14713826792355708,4.86019811219552e-06,0.13203741985193146,4.180961071702589e-05,0.001865407083427205,4.653340187767491e-308,6.8453494537965075e-06,5.9220411780489934e-05
